Adresse;Art;Datum;Preis;Preis2;price
"Shell

Romanshornerstr., 9322 Egnach";Diesel;04.10.2021;1,760 sFr;2,097 sFr;1
"Tankstelle Zimmermann

Mülenenstr., 3703 Aeschi b. Spiez";Diesel;18.09.2020;1,760 sFr;2,407 sFr;1
"Agip

Bodenstr. 1, 3715 Adelboden";Diesel;13.07.2021;1,760 sFr;2,077 sFr;1
"Statzione di benzina LEONE

Via San Gottardo 13, 6900 Lugano";Diesel;11.10.2021;1,760 sFr;2,097 sFr;1
"Forchgarage

Forchstr. 180, 8125 Zollikerberg";Diesel;20.01.2020;1,760 sFr;2,217 sFr;1
"Station Migrol

Route de Neuchâtel 2, 2053 Cernier";Diesel;13.07.2014;1,760 sFr;;1
"BP Tankstelle Hans Seiler

Wilerstr. 20, 9602 Bazenheid";Diesel;13.08.2018;1,760 sFr;2,297 sFr;1
"Agip

Camplium 1C, 7166 Trun";Diesel;02.01.2011;1,760 sFr;;1
"Hergol

Seestr. 87, 6052 Hergiswil NW";Diesel;01.10.2018;1,760 sFr;2,277 sFr;1
"Rue de la Chapelle 54

Rue de la Chapelle 54, 2035 Corcelles NE";Diesel;23.06.2014;1,760 sFr;;1
"MINI PRIX Station Service Les Pereuses

Rue des Draizes 7, 2000 Neuchâtel";Diesel;23.06.2014;1,760 sFr;;1
"Migrol

Luzernerstr. 64, 5630 Muri AG";Diesel;08.11.2021;1,760 sFr;2,037 sFr;1
"Coop

Luzernerstr. 33, 5630 Muri AG";Diesel;08.11.2021;1,760 sFr;2,037 sFr;1
"Eni

Luzernerstr. 13, 5630 Muri AG";Diesel;08.11.2021;1,760 sFr;2,037 sFr;1
"Shell

Aarauerstr. 21, 5630 Muri AG";Diesel;08.11.2021;1,760 sFr;2,037 sFr;1
"Landi

Zentralstr. 24, 5623 Boswil";Diesel;08.11.2021;1,760 sFr;2,037 sFr;1
"Avia

Zentralstr. 6, 5623 Boswil";Diesel;08.11.2021;1,760 sFr;2,037 sFr;1
"Agrola

Zürcherstr. 1, 5630 Muri AG";Diesel;08.11.2021;1,760 sFr;2,037 sFr;1
"Migrol Service

Muristrasse 8, 5623 Boswil";Diesel;08.11.2021;1,760 sFr;2,037 sFr;1
"Avia

Staatsstr. 83, 9472 Grabs";Diesel;22.04.2019;1,760 sFr;2,217 sFr;1
"Shell

Via la Sguancia 11, 6912 Pazzallo";Diesel;12.10.2019;1,760 sFr;2,227 sFr;1
"Ruedi Rüssel

Hauptstr. 163, 5078 Effingen";Diesel;24.06.2011;1,760 sFr;;1
"Garage Casale

rte Echallens 16, 1037 Etagnières";Diesel;12.03.2021;1,760 sFr;2,157 sFr;1
"T Felder

Pfarrmatte, 6122 Menznau";Diesel;26.12.2020;1,760 sFr;2,357 sFr;1
"Garage Erb

Baslerstr. 24, 5222 Umiken";Diesel;04.07.2011;1,760 sFr;;1
"Agip

Arbonerst. 8, 8590 Romanshorn";Diesel;04.10.2021;1,760 sFr;2,097 sFr;1
"Avia

Romanshornerstr. 115, 9322 Egnach";Diesel;04.10.2021;1,760 sFr;2,097 sFr;1
"Red Fox

Hauptstr. 70, 9323 Steinach";Diesel;04.10.2021;1,760 sFr;2,097 sFr;1
"Migrol

Schaffhauserstr. 315, 8000 Zürich";Diesel;12.11.2014;1,760 sFr;;1
"Socar

Schaffhauserstr. 6, 8500 Frauenfeld";Diesel;16.06.2019;1,760 sFr;2,247 sFr;1
"Migrol Tankstelle

Höhenstr. 2, 9555 Tobel";Diesel;11.04.2019;1,760 sFr;2,247 sFr;1
"Socar

route d'Anet 6, 1786 Sugiez";Diesel;05.11.2021;1,760 sFr;2,037 sFr;1
"Migrol

Vorderi Böde 1 , 5452 Oberrohrdorf";Diesel;31.05.2019;1,760 sFr;2,187 sFr;1
"Avia

Mutschellenstr.25, 5454 Bellikon";Diesel;31.05.2019;1,760 sFr;2,187 sFr;1
"August Ulmer

Seestr. 181, 8266 Steckborn";Diesel;28.08.2011;1,760 sFr;;1
"Ruedi Rüssel

Hauptstr. 87, 9430 St. Margrethen SG";Diesel;04.10.2021;1,760 sFr;2,097 sFr;1
"MINI PRIX

Hauptstrasse 25A, 2556 Scheuren";Diesel;21.08.2014;1,760 sFr;;1
"Garage Schneider AG

Wehntalerstrasse 276, 8046 Zürich";Diesel;17.02.2014;1,760 sFr;;1
"Garage Gmür AG

Ueberlandstr. 725, 8051 Zürich";Diesel;17.03.2019;1,755 sFr;2,242 sFr;1
"Flug-Garage AG

Klotenererst. 72, 8303 Bassersdorf";Diesel;17.03.2019;1,755 sFr;2,242 sFr;1
"Landi

Rellikonstr., 8124 Maur";Diesel;16.07.2018;1,755 sFr;2,302 sFr;1
"Eni

Schaffhauserstr. 15, 8442 Hettlingen";Diesel;07.04.2019;1,755 sFr;2,242 sFr;1
"Germann

Messenriet 33, 8500 Frauenfeld";Diesel;04.10.2021;1,755 sFr;2,092 sFr;1
"Tamoil

Rue de Montsalvens, 1636 Broc";Diesel;25.06.2018;1,750 sFr;2,317 sFr;1
"Landi

Poststr. 5 , 6343 Rotkreuz";Diesel;21.12.2018;1,750 sFr;2,237 sFr;1
"Taxi Ernst Hess AG

Eichwaldstr. 39, 6005 Luzern";Diesel;10.05.2020;1,750 sFr;2,417 sFr;1
"Hans Bader AG

Wehntalerstrasse 5, 8165 Oberweningen";Diesel;02.01.2019;1,750 sFr;2,237 sFr;1
"Migrol

Wilerstr. 90, 9200 Gossau SG";Diesel;02.05.2021;1,750 sFr;2,147 sFr;1
"Coop

Wilerstr. 82, 9200 Gossau SG";Diesel;02.05.2021;1,750 sFr;2,147 sFr;1
"BP

Wilerstr. 53, 9200 Gossau SG";Diesel;02.05.2021;1,750 sFr;2,147 sFr;1
"Tamoil

Grandval 72, 2744 Belprahon";Diesel;02.01.2022;1,750 sFr;2,067 sFr;1
"Eni

Chemin de Champ-Francey 146, 1630 Bulle";Diesel;25.06.2018;1,750 sFr;2,317 sFr;1
"Celsa

Hauptstrasse 381, 1656 Jaun";Diesel;25.06.2018;1,750 sFr;2,317 sFr;1
"Tamoil

Rue du Centre 11, 1637 Charmey (Gruyère)";Diesel;25.06.2018;1,750 sFr;2,317 sFr;1
"Coop

Bassersdorferstr. 113, 8302 Kloten";Diesel;17.03.2019;1,750 sFr;2,237 sFr;1
"Socar

Klotenerstr. 46, 8303 Bassersdorf";Diesel;17.03.2019;1,750 sFr;2,237 sFr;1
"BP

Frauenfelderstr. 27 , 9548 Matzingen";Diesel;14.07.2018;1,750 sFr;2,297 sFr;1
"Spurt

Langgasse 106, 9000 St. Gallen";Diesel;11.08.2020;1,750 sFr;2,397 sFr;1
"Ruedi Rüssel

Wasserbühlen, 3818 Grindelwald";Diesel;08.10.2018;1,750 sFr;2,237 sFr;1
"Socar

Luzernerstrasse, 6330 Cham";Diesel;21.12.2018;1,750 sFr;2,237 sFr;1
"Tamoil

Hauptstr. 130, 5070 Frick";Diesel;02.02.2017;1,750 sFr;;1
"Scall

Sonneggstr. 42/44, 8000 Zürich";Diesel;22.07.2021;1,750 sFr;2,067 sFr;1
"Coop Pronto

Frauenfelderstr.93, 9548 Matzingen";Diesel;14.07.2018;1,750 sFr;2,297 sFr;1
"Coop

Hohlstr. 461, 8000 Zürich";Diesel;31.07.2021;1,750 sFr;2,097 sFr;1
"Ruedi Rüssel

Hauptstr. 1, 8512 Thundorf";Diesel;03.12.2008;1,750 sFr;;1
"Tayara

Baslerstr. 197, 5224 Unterbözberg";Diesel;04.07.2011;1,750 sFr;;1
"Agrola

b. Bahnhof, 8496 Steg im Tösstal";Diesel;13.08.2018;1,750 sFr;2,287 sFr;1
"Shell

Arbonerstr. 15, 8599 Salmsach";Diesel;03.09.2011;1,750 sFr;;1
"Coop Tankstelle BEO

Simmenthalstr. 58 , 3700 Spiez";Diesel;13.07.2021;1,750 sFr;2,067 sFr;1
"Coop

Blegistr. 2, 6343 Rotkreuz";Diesel;21.12.2018;1,750 sFr;2,237 sFr;1
"Avia

Palaweg, 7430 Thusis";Diesel;28.12.2021;1,750 sFr;2,067 sFr;1
"Talgarage

Märwilerstrasse, 9556 Affeltrangen";Diesel;11.04.2019;1,750 sFr;2,237 sFr;1
"Berglas

Romanshornerstr. 35, 8280 Kreuzlingen";Diesel;29.08.2020;1,750 sFr;2,397 sFr;1
"LANDI Wängi

St. Gallerstr. 48, 9548 Matzingen";Diesel;14.07.2018;1,750 sFr;2,297 sFr;1
"Landi

Alte Gasse 4, 6373 Ennetbürgen";Diesel;13.10.2014;1,750 sFr;;1
"Tamoil

Avenue de Neuchâtel 18, 1450 Ste-Croix";Diesel;30.09.2019;1,750 sFr;2,217 sFr;1
"Taxon

Hinterdorfstr. 10, 5644 Auw";Diesel;08.11.2021;1,750 sFr;2,027 sFr;1
"Lorenzi Robert

St.Gallerstr. 241, 9200 Gossau SG";Diesel;27.05.2021;1,750 sFr;2,147 sFr;1
"Benzin-Discount

Bremgarterstr. 48, 5610 Wohlen AG";Diesel;08.11.2021;1,750 sFr;2,027 sFr;1
"Ruedi Rüssel

Bremgarterstr. 32, 5610 Wohlen AG";Diesel;08.11.2021;1,750 sFr;2,027 sFr;1
"Shell

Blegistr. 4, 6343 Rotkreuz";Diesel;21.12.2018;1,750 sFr;2,237 sFr;1
"Freie Tankstelle Red Fox

St.Gallerstr. 188, 9200 Gossau SG";Diesel;27.05.2021;1,750 sFr;2,147 sFr;1
"Avia

St.Gallerstr. 97, 9200 Gossau SG";Diesel;27.05.2021;1,750 sFr;2,147 sFr;1
"Shell

Schaffhauserstr. 87, 8152 Glattbrugg";Diesel;17.03.2019;1,750 sFr;2,237 sFr;1
"Tamoil

St. Gallerstr. 120 , 9230 Flawil";Diesel;27.05.2021;1,750 sFr;2,147 sFr;1
"Shell

Kanderstegstr. 39, 3714 Frutigen";Diesel;13.07.2021;1,749 sFr;2,066 sFr;1
"Garage Bär

Hauptstrasse 15, 5644 Auw";Diesel;08.11.2021;1,749 sFr;2,026 sFr;1
"Agrola

Gewerbezone Brüggfeld 1, 3216 Ried b. Kerzers";Diesel;26.04.2021;1,745 sFr;2,142 sFr;1
"Garage Fernandez

Wilerweg 34, 4600 Olten";Diesel;16.04.2019;1,745 sFr;2,202 sFr;1
"Avia

Winkelstr. 4, 7250 Klosters";Diesel;26.01.2020;1,745 sFr;2,202 sFr;1
"Agrola

Stationsstr. 4, 8472 Seuzach";Diesel;07.04.2019;1,745 sFr;2,232 sFr;1
"Agrola

Dorfstr. 12, 8471 Rutschwil-Dägerlen";Diesel;07.04.2019;1,745 sFr;2,232 sFr;1
"oeltrans Tankstelle Grindelwald

Truffersbrunnen, 3818 Grindelwald";Diesel;08.10.2018;1,740 sFr;2,227 sFr;1
"Agrola

Hauptstrasse 36, 3713 Reichenbach i. K.";Diesel;13.07.2021;1,740 sFr;2,057 sFr;1
"Coop Pronto

Hauptstr. 38 , 3713 Reichenbach i. K.";Diesel;13.07.2021;1,740 sFr;2,057 sFr;1
"BP Service Spiez

Simmentalstr. 30, 3700 Spiez";Diesel;13.07.2021;1,740 sFr;2,057 sFr;1
"Socar Fälanden

Schwerzenbachstr. 39, 8117 Fällanden";Diesel;16.07.2018;1,740 sFr;2,287 sFr;1
"Avia

Seestr. 26, 6205 Eich";Diesel;26.04.2021;1,740 sFr;2,137 sFr;1
"Agrola

Thunstr. 1, 3700 Spiez";Diesel;13.07.2021;1,740 sFr;2,057 sFr;1
"J.Windlin AG

Stanserstrasse 113, 6064 Kerns";Diesel;21.10.2014;1,740 sFr;;1
"BP Weiach

Kaiserstuhlstr. 47, 8187 Weiach";Diesel;21.04.2019;1,740 sFr;2,197 sFr;1
"Migrol Tankstelle

Hauptstr. 25, 3713 Reichenbach i. K.";Diesel;13.07.2021;1,740 sFr;2,057 sFr;1
Melchtalerstrasse 5, 6064 Kerns;Diesel;21.10.2014;1,740 sFr;;1
"BP

Hauptstr. 4a, 3711 Mülenen";Diesel;13.07.2021;1,740 sFr;2,057 sFr;1
Brünigstrasse 109, 6060 Sarnen;Diesel;21.10.2014;1,740 sFr;;1
"BP

Hauptstr. 47, 9552 Bronschhofen";Diesel;11.04.2019;1,740 sFr;2,227 sFr;1
"Jubin

Hauptstrasse, 1656 Jaun";Diesel;25.06.2018;1,740 sFr;2,307 sFr;1
"BP Service Airport

Flughafenstrasse 79 , 8302 Kloten";Diesel;09.12.2018;1,740 sFr;2,227 sFr;1
"Tamoil

Dorfstr. 13, 8302 Kloten";Diesel;19.09.2019;1,740 sFr;2,207 sFr;1
"Socar

Austr. 37, 9490 Vaduz";Diesel;29.01.2019;1,740 sFr;2,247 sFr;1
"Avia

Landstr. 186, 9495 Triesen";Diesel;29.01.2019;1,740 sFr;2,247 sFr;1
"Coop Pronto

im Gagoz 77, 9496 Balzers";Diesel;29.01.2019;1,740 sFr;2,247 sFr;1
"Red Fox

Grabserstr. 10, 9473 Gams";Diesel;22.04.2019;1,740 sFr;2,197 sFr;1
"Garage Frei

Hauptstr. 181, 4625 Oberbuchsiten";Diesel;02.01.2022;1,740 sFr;2,057 sFr;1
"Garage trois Chênes

rte Yverdon 19, 1040 Echallens";Diesel;30.08.2019;1,740 sFr;2,237 sFr;1
"Tamoil

Schwarzenburgstr. 112, 3097 Liebefeld";Diesel;29.10.2014;1,740 sFr;;1
"Seetankstelle

Hafen Steckborn, 8266 Steckborn";Diesel;28.08.2011;1,740 sFr;;1
"Migrol Service

Sihlquai 155 , 8000 Zürich";Diesel;20.01.2020;1,740 sFr;2,197 sFr;1
"AV-SIG 

Industriestr., 8222 Beringen";Diesel;12.07.2019;1,740 sFr;2,207 sFr;1
"Migrol

Tösstalstr. 31, 8483 Kollbrunn";Diesel;04.10.2021;1,740 sFr;2,077 sFr;1
"Agrola

Wülflingerstr. 32, 8400 Winterthur";Diesel;11.04.2019;1,735 sFr;2,222 sFr;1
"Agrola

Buchserstr. 4, 9469 Haag (Rheintal)";Diesel;02.02.2019;1,730 sFr;2,237 sFr;1
"MINI PRIX

Rue du Prieuré 38, 1636 Broc";Diesel;25.06.2018;1,730 sFr;2,297 sFr;1
"Shell

Diepoldsauerstr. 38, 9443 Widnau";Diesel;28.01.2020;1,730 sFr;2,217 sFr;1
"Spurt

Brüggershofstr. 5, 9424 Rheineck";Diesel;04.10.2021;1,730 sFr;2,067 sFr;1
"Avia

St. Gallerstr. 76, 9403 Goldach";Diesel;27.05.2021;1,730 sFr;2,127 sFr;1
"BP

Bruggmühlestr. 26, 9403 Goldach";Diesel;27.05.2021;1,730 sFr;2,127 sFr;1
"Coop

Zürcherstr. 110/112, 8903 Birmensdorf ZH";Diesel;28.05.2021;1,730 sFr;2,127 sFr;1
"Agrola

Adelbodenstr. 38, 3714 Frutigen";Diesel;13.07.2021;1,730 sFr;2,047 sFr;1
"Tamoil Oberrieden

Seestr., 8942 Oberrieden";Diesel;23.01.2020;1,730 sFr;2,187 sFr;1
"Shell

Rorschacherstr. 219, 9000 St. Gallen";Diesel;27.05.2021;1,730 sFr;2,127 sFr;1
"Avia

Hauptstr. 4, 6386 Wolfenschiessen";Diesel;30.09.2018;1,730 sFr;2,247 sFr;1
"Coop

Rorschacherstr. 218, 9000 St. Gallen";Diesel;27.05.2021;1,730 sFr;2,127 sFr;1
"Shell

Zürcherstr. 205, 9000 St. Gallen";Diesel;27.05.2021;1,730 sFr;2,127 sFr;1
"Shell

Ueberlandstr. 95, 8600 Dübendorf";Diesel;28.04.2021;1,730 sFr;2,127 sFr;1
"Avia

Sirnachstr. 10, 8355 Aadorf";Diesel;18.10.2021;1,730 sFr;2,037 sFr;1
"BP Service Affoltern

Zürichstrasse 187, 8910 Affoltern am Albis";Diesel;04.03.2021;1,730 sFr;2,157 sFr;1
"Migrol

 Kempttalstr. 73, 8320 Fehraltorf";Diesel;19.09.2021;1,730 sFr;2,097 sFr;1
"Socar

Rue de Vuippens 49, 1630 Bulle";Diesel;25.06.2018;1,730 sFr;2,297 sFr;1
"Avia

Zürcherstr. 431, 9000 St. Gallen";Diesel;27.05.2021;1,730 sFr;2,127 sFr;1
"Zobrist

Schaffhauserstrasse 123, 8302 Kloten";Diesel;17.08.2010;1,730 sFr;;1
"Garage Meinrad Fuchs

Schmalzgrubenstr. 17, 8842 Unteriberg";Diesel;11.04.2021;1,730 sFr;2,127 sFr;1
"Spurt

Obereggerstr. 12, 9442 Berneck";Diesel;11.08.2020;1,730 sFr;2,377 sFr;1
"Tamoil

Kempttalstr. 21, 8320 Fehraltorf";Diesel;19.09.2021;1,730 sFr;2,097 sFr;1
"Shell

Kempttalstr. 43, 8308 Illnau";Diesel;19.09.2021;1,730 sFr;2,097 sFr;1
"Shell

Wülflingerstrasse 393, 8408 Winterthur";Diesel;13.01.2019;1,730 sFr;2,237 sFr;1
"Avia

Hauptstr., 5070 Frick";Diesel;26.12.2020;1,730 sFr;2,327 sFr;1
"Migrol

Thalstr. 367, 4712 Laupersdorf";Diesel;02.01.2022;1,730 sFr;2,047 sFr;1
"Coop

Im Wängli 6, 8910 Affoltern am Albis";Diesel;04.03.2021;1,730 sFr;2,157 sFr;1
"Coop

Bahnhofstr. 73, 8590 Romanshorn";Diesel;04.10.2021;1,730 sFr;2,067 sFr;1
"Migrol Autoservice

Buchenstrasse 1, 6210 Sursee";Diesel;26.04.2021;1,730 sFr;2,127 sFr;1
"Avia

Rheinstr. 1, 9469 Haag (Rheintal)";Diesel;02.02.2019;1,730 sFr;2,237 sFr;1
"Avia

Zürcherstr. 162, 9000 St. Gallen";Diesel;27.05.2021;1,730 sFr;2,127 sFr;1
"Agrola

Zürcherstr. 268, 9000 St. Gallen";Diesel;27.05.2021;1,730 sFr;2,127 sFr;1
"Debrunner

Hauptstr. 35, 8553 Mettendorf TG";Diesel;16.06.2019;1,730 sFr;2,217 sFr;1
"LANDI Mittelthurgau

Maurenstr. 3, 8575 Bürglen TG";Diesel;16.06.2019;1,730 sFr;2,217 sFr;1
"Shell

Zürcherstr. 114, 9000 St. Gallen";Diesel;27.05.2021;1,730 sFr;2,127 sFr;1
"Hans Eberle AG

Sonnental 3, 9313 Muolen";Diesel;01.05.2019;1,730 sFr;2,157 sFr;1
"Garage Ruckstuhl

Zürichstrasse 29, 8910 Affoltern am Albis";Diesel;04.03.2021;1,730 sFr;2,157 sFr;1
"Migrol Service  Peter Heiniger

Baarerstrasse 2, 8932 Mettmenstetten";Diesel;04.03.2021;1,730 sFr;2,157 sFr;1
"Agrola

Länggstrasse, 8308 Illnau";Diesel;19.09.2021;1,730 sFr;2,097 sFr;1
"M. Ruckstuhl

Frauenfelderstr. 16, 8560 Märstetten";Diesel;16.06.2019;1,730 sFr;2,217 sFr;1
"Avia

Riedern 1273, 9402 Mörschwil";Diesel;27.05.2021;1,730 sFr;2,127 sFr;1
"BP

Schaffhauserstr. 74, 8500 Frauenfeld";Diesel;16.06.2019;1,730 sFr;2,217 sFr;1
"Coop

Hauptstr. 19, 6015 Reussbühl";Diesel;14.06.2021;1,730 sFr;2,097 sFr;1
"Shell

Route Cantonale, 1898 St-Gingolph";Diesel;10.04.2019;1,730 sFr;2,217 sFr;1
"Eni 

Route Cantonale 48, 1898 St-Gingolph";Diesel;10.04.2019;1,730 sFr;2,217 sFr;1
"BP

Luzernerstr. 27, 5643 Sins";Diesel;29.06.2021;1,730 sFr;2,067 sFr;1
"BP

Sulgerstr. 14, 8575 Bürglen TG";Diesel;16.06.2019;1,730 sFr;2,217 sFr;1
"Agrola

Oberfeldstr. 1, 8570 Weinfelden";Diesel;16.06.2019;1,730 sFr;2,217 sFr;1
"Coop

St.Gallerstr. 238, 9200 Gossau SG";Diesel;27.05.2021;1,730 sFr;2,127 sFr;1
"Socar

Deucherstr. 44, 8570 Weinfelden";Diesel;16.06.2019;1,730 sFr;2,217 sFr;1
"Gut G. AG

Engelbergerstrasse 17, 6383 Dallenwil";Diesel;30.09.2018;1,730 sFr;2,247 sFr;1
"Agrola

Kantonsstr. 13, 6033 Buchrain";Diesel;26.04.2021;1,730 sFr;2,127 sFr;1
"Avia

Deucherstr. 39, 8570 Weinfelden";Diesel;16.06.2019;1,730 sFr;2,217 sFr;1
"Shell

Dufourstr. 14, 8570 Weinfelden";Diesel;16.06.2019;1,730 sFr;2,217 sFr;1
"Eni

Dufourstr. 17, 8570 Weinfelden";Diesel;16.06.2019;1,730 sFr;2,217 sFr;1
"Coop Pronto

Fichtenstr. 18, 8570 Weinfelden";Diesel;16.06.2019;1,730 sFr;2,217 sFr;1
"Avia

Wasserwerkstr. 98, 8037 Zürich";Diesel;27.12.2019;1,729 sFr;2,216 sFr;1
"Badis

Diessenhoferstr. 36, 8466 Trüllikon";Diesel;09.06.2019;1,729 sFr;2,186 sFr;1
"Badi

Gewerbestr. 9, 8451 Kleinandelfingen";Diesel;24.10.2021;1,729 sFr;2,006 sFr;1
"Shell

Bahnhofstr. 21, 5322 Koblenz";Diesel;21.04.2019;1,725 sFr;2,182 sFr;1
"AGROLA

Hauptstr. 32, 8274 Tägerwilen";Diesel;01.04.2019;1,725 sFr;2,212 sFr;1
"Eni

Bahnhofstrasse 7, 8344 Bäretswil";Diesel;11.12.2019;1,720 sFr;2,207 sFr;1
"Avia

Aarauerstr. 20, 5600 Lenzburg";Diesel;28.10.2019;1,720 sFr;2,187 sFr;1
"Eni

Zollstr. 12, 9434 Au SG";Diesel;28.01.2020;1,720 sFr;2,207 sFr;1
"Shell

Zollstr. 6, 9434 Au SG";Diesel;28.01.2020;1,720 sFr;2,207 sFr;1
"Avia

Rampa 35c, 7145 Degen";Diesel;05.02.2021;1,720 sFr;2,207 sFr;1
"Oeltrans

Adelbodenstr. 313, 3725 Achseten";Diesel;13.07.2021;1,720 sFr;2,037 sFr;1
"Socar

Feldstr. 10, 8105 Regensdorf";Diesel;05.11.2014;1,720 sFr;;1
"LGG

Wilerstrasse 9, 8514 Amlikon-Bissegg";Diesel;11.04.2019;1,720 sFr;2,207 sFr;1
"Agip

Zollstr. 86a, 8212 Neuhausen";Diesel;19.06.2019;1,720 sFr;2,207 sFr;1
"Avia

Sommerhalde 18, 5442 Fislisbach";Diesel;22.09.2018;1,720 sFr;2,237 sFr;1
"Auto Berther AG

Via Alpsu 74, 7188 Sedrun";Diesel;27.04.2021;1,720 sFr;2,117 sFr;1
"Heinz Gerber AG

Hauptstrasse, 3855 Brienz BE";Diesel;21.05.2018;1,720 sFr;2,267 sFr;1
"Tamoil

Via Alpsu, 7189 Rueras";Diesel;27.04.2021;1,720 sFr;2,117 sFr;1
"Garage Glanzmann AG

Stützli, 6112 Doppleschwand";Diesel;26.12.2020;1,720 sFr;2,317 sFr;1
"Agrola

Teufenerstr. 166, 9000 St. Gallen";Diesel;27.05.2021;1,720 sFr;2,117 sFr;1
"Landi Stammertal

Amtacker 2, 8476 Unterstammheim";Diesel;01.04.2019;1,720 sFr;2,207 sFr;1
"Eni

El Stradún, 6513 Monte Carasso";Diesel;14.10.2018;1,720 sFr;2,207 sFr;1
"Shell

Zugerstr. 17, 6415 Arth";Diesel;20.05.2018;1,720 sFr;2,267 sFr;1
"Tamoil

Furkastrasse, 3999 Oberwald";Diesel;25.10.2021;1,720 sFr;1,997 sFr;1
"Landi

Bernstr 26, 6152 Hüswil";Diesel;26.04.2021;1,720 sFr;2,117 sFr;1
"Karl Graf Automobile AG

Zürichstrasse 28 , 8932 Mettmenstetten";Diesel;04.03.2021;1,720 sFr;2,147 sFr;1
"Tancadi

, 7162 Tavanasa";Diesel;16.01.2022;1,720 sFr;2,037 sFr;1
"LGG

Hauptstr. 67, 9064 Hundwil";Diesel;04.10.2021;1,720 sFr;2,057 sFr;1
"Socar

Bahnhofstr. 15, 5322 Koblenz";Diesel;21.04.2019;1,720 sFr;2,177 sFr;1
"Tamoil

Thalstr. 143, 4714 Aedermannsdorf";Diesel;09.01.2022;1,720 sFr;2,037 sFr;1
"Coop

Bernstr. 40, 3360 Herzogenbuchsee";Diesel;08.05.2021;1,720 sFr;2,087 sFr;1
"Coop

Thurgauerstr. 35, 9400 Rorschach";Diesel;27.05.2021;1,720 sFr;2,117 sFr;1
"Garage Baumann

Lenzburgerstrasse 6, 5103 Wildegg";Diesel;20.10.2014;1,720 sFr;;1
"Migrol

Schmalzgrubenstr. 19, 8842 Unteriberg";Diesel;11.04.2021;1,720 sFr;2,117 sFr;1
"auto-gretener AG

Zürichstrasse 193 , 8910 Affoltern am Albis";Diesel;04.03.2021;1,720 sFr;2,147 sFr;1
"Socar

Via Monte Ceneri 1, 6572 Quartino";Diesel;14.10.2018;1,720 sFr;2,207 sFr;1
"Coop

Route du Bois, 1753 Matran";Diesel;10.04.2019;1,720 sFr;2,207 sFr;1
"Avia

Route Cantonale 12, 1897 Les Evouettes";Diesel;10.04.2019;1,720 sFr;2,207 sFr;1
"Avia

Zürcherstr. 369, 8500 Frauenfeld";Diesel;26.12.2020;1,720 sFr;2,317 sFr;1
"Auto Imhof AG Garage

Hauptstr. 131, 8274 Tägerwilen";Diesel;01.04.2019;1,720 sFr;2,207 sFr;1
"Keusch AG

Kaltenbacherstr. 4, 8260 Stein am Rhein";Diesel;01.04.2019;1,720 sFr;2,207 sFr;1
"BP

Chamerstr. 2, 6343 Rotkreuz";Diesel;21.12.2018;1,720 sFr;2,207 sFr;1
"Avia

Bahnhofstr. 12, 6037 Root";Diesel;21.12.2018;1,720 sFr;2,207 sFr;1
"Migrol Auto Service

Wynencenter , 5033 Buchs AG";Diesel;19.11.2020;1,720 sFr;2,367 sFr;1
"Agrola

Rämismatte 1, 3232 Ins";Diesel;26.04.2021;1,715 sFr;2,112 sFr;1
"Hanselmann AG

Hauptstr. 1, 9466 Sennwald";Diesel;02.02.2019;1,710 sFr;2,217 sFr;1
"Tamoil

Reppischtalstr. 312, 8143 Stallikon";Diesel;04.03.2021;1,710 sFr;2,137 sFr;1
"oeltrans

Thunstr. 24, 3700 Spiez";Diesel;13.07.2021;1,710 sFr;2,027 sFr;1
"Kofi

Wagenhauserstr. 37, 8260 Stein am Rhein";Diesel;01.04.2019;1,710 sFr;2,197 sFr;1
"Peter Brechtbühl AG

Bernstrasse 54, 4923 Wynau";Diesel;14.05.2021;1,710 sFr;2,077 sFr;1
"Kreuzberggarage Heeb

Farnen, 9466 Sennwald";Diesel;05.09.2010;1,710 sFr;;1
"BP

Huebstr. 35 , 8317 Tagelswangen";Diesel;17.03.2019;1,710 sFr;2,197 sFr;1
"Koller Fahrzeuge AG

Hauptstr., 9656 Alt St. Johann";Diesel;05.09.2010;1,710 sFr;1,867 sFr;1
"BP

Südstr. 1 , 9451 Kriessern";Diesel;28.01.2020;1,710 sFr;1,507 sFr;1
"coop Pronto

Via Rinaldo Simen 58, 6648 Minusio";Diesel;14.10.2018;1,710 sFr;2,197 sFr;1
"ENI

Neuenburgstrasse 65, 3236 Gampelen";Diesel;30.12.2021;1,710 sFr;2,027 sFr;1
"Garage O. Bader

Schauffhauserstrasse 168 , 8302 Kloten";Diesel;17.08.2010;1,710 sFr;;1
"Avia

Gotthardstr. 59, 6410 Goldau";Diesel;21.12.2018;1,710 sFr;2,197 sFr;1
"Agrola

Oberrieterstrasse, 9450 Altstätten SG";Diesel;02.02.2019;1,710 sFr;2,217 sFr;1
"Wolfi GmbH 

Kantonsstrasse, 7421 Summaprada";Diesel;04.07.2010;1,710 sFr;;1
"Ruedi Rüssel

Garage, 8884 Oberterzen";Diesel;19.04.2019;1,710 sFr;2,167 sFr;1
"Ruedi Rüssel

Hauptstr. 76, 9424 Rheineck";Diesel;04.10.2021;1,710 sFr;2,047 sFr;1
"Ruedi Rüssel

Thalstr. 29, 4710 Balsthal";Diesel;02.01.2022;1,710 sFr;2,027 sFr;1
